Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
28,VAFB,Iridium NEXT,"9,600 kg",Polar,NRO,"Success
",0,Success,14 August 2016,05:26
29,KSC,SpaceX CRS-10,"2,490 kg",LEO,Inmarsat,"Success
",0,No attempt,14 January 2017,17:54
30,KSC,EchoStar 23,"5,600 kg",GTO,NASA,"Success
",0,Success,19 February 2017,14:39
31,KSC,SES-10,"5,300 kg",GTO,Bulsatcom,"Success
",0,Success,16 March 2017,06:00
32,KSC,NROL-76,C,LEO,Iridium Communications,"Success
",0,Success,30 March 2017,22:27
33,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Intelsat,"Success
",0,No attempt,1 May 2017,11:15
34,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",0,Success,15 May 2017,23:21
35,KSC,BulgariaSat-1,"3,669 kg",GTO,NSPO,"Success
",0,Success,3 June 2017,21:07
36,VAFB,Iridium NEXT,"9,600 kg",LEO,USAF,"Success
",0,Success,23 June 2017,19:10
37,KSC,Intelsat 35e,"6,761 kg",GTO,Iridium Communications,"Success
",0,Success,25 June 2017,20:25
38,KSC,SpaceX CRS-12,"3,310 kg",LEO,SES S.A.,"Success
",0,Success,5 July 2017,23:38
39,VAFB,Formosat-5,475 kg,SSO,KT Corporation,"Success
",0,Success,14 August 2017,16:31
40,KSC,Boeing X-37B,"4,990 kg",LEO,NASA,"Success
",0,Success,24 August 2017,18:51
41,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,0,Controlled,7 September 2017,14:00
42,KSC,SES-11,"5,200 kg",GTO,Northrop Grumman,Success,0,Success,9 October 2017,12:37
43,KSC,Koreasat 5A,"3,500 kg",GTO,SES,Success,0,Controlled,11 October 2017,22:53:00
44,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Hisdesat,Success,0,No attempt,30 October 2017,19:34
45,VAFB,Iridium NEXT,"9,600 kg",Polar,Hispasat,Success,0,No attempt,15 December 2017,15:36
46,CCAFS,Zuma,C,LEO,Iridium Communications,Success,0,No attempt,23 December 2017,01:27
47,CCAFS,GovSat-1,"4,230 kg",GTO,NASA,Success,0,No attempt,8 January 2018,01:00
48,VAFB,Paz,"2,150 kg",SSO,NASA,Success,0,Success,31 January 2018,21:25
49,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Thales-Alenia,Success,0,Success,22 February 2018,14:17
50,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,0,No attempt,6 March 2018,05:33
51,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,SES,Success,0,No attempt,30 March 2018,14:14
52,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,0,No attempt,2 April 2018,20:30
53,KSC,Bangabandhu-1,"3,600 kg",GTO,Telesat,Success,0,Success,18 April 2018,22:51
54,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,0,Success,11 May 2018,20:14
55,CCAFS,SES-12,"5,384 kg",GTO,Telkom Indonesia,Success,0,Success,22 May 2018,19:47
56,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Telesat,Success,0,Success,4 June 2018,04:45
57,CCAFS,Telstar 19V,"7,075 kg",GTO,CONAE,Success,0,Success,29 June 2018,09:42
58,VAFB,Iridium NEXT,"9,600 kg",Polar,Es'hailSat,Success,0,Success,22 July 2018,05:50
59,CCAFS,Merah Putih,"5,800 kg",GTO,Spaceflight Industries,Success,0,Success,25 July 2018,11:39
60,CCAFS,Telstar 18V,"7,060 kg",GTO,NASA,"Success
",0,Failure,7 August 2018,05:18
61,VAFB,SAOCOM 1A,"3,000 kg",SSO,USAF,Success,0,No attempt,10 September 2018,04:45
62,KSC,Es'hail 2,"5,300 kg",GTO,Iridium Communications,"Success
",0,Success,8 October 2018,02:22
63,VAFB,SSO-A,"~4,000 kg",SSO,PSN,"Success
",0,Success,15 November 2018,20:46
64,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",0,Success,3 December 2018,18:34:05
65,CCAFS,GPS III,"4,400 kg",MEO,NASA,"Success
",0,Success,5 December 2018,18:16
66,VAFB,Iridium NEXT,"9,600 kg",Polar,SpaceX,"Success
",0,Success,23 December 2018,13:51
67,CCAFS,Nusantara Satu,"4,850 kg",GTO,Canadian Space Agency,"Success
",0,Success,11 January 2019,15:31
68,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",0,Success,22 February 2019,01:45
69,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,Spacecom,"Success
",0,No attempt,2 March 2019,07:49
70,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",0,Success,4 May 2019,06:48
71,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",0,Success,24 May 2019,02:30
72,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Sky Perfect JSAT,"Success
",0,Success,12 June 2019,14:17
73,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",0,Success,25 July 2019,22:01
74,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",0,"No attempt
",6 August 2019,23:23
75,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,SpaceX,"Success
",0,Success,11 November 2019,14:56
76,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",0,Failure,5 December 2019,17:29
77,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",0,Success,17 December 2019,00:10
78,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",0,Failure,7 January 2020,02:19:21
79,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",0,Success,19 January 2020,15:30
80,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",0,Success,29 January 2020,14:07
81,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",0,Success,17 February 2020,15:05
82,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",0,Success,7 March 2020,04:50
83,KSC,Starlink,"15,600 kg",LEO,U.S. Space Force,"Success
",0,Success,18 March 2020,12:16
84,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,Republic of Korea Army,"Success
",0,Success,22 April 2020,19:30
85,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",0,Success,30 May 2020,19:22
86,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",0,Success,4 June 2020,01:25
87,CCAFS,GPS III,"4,311 kg",MEO,CONAE,"Success
",0,Success,13 June 2020,09:21
88,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",0,Success,30 June 2020,20:10:46
89,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",0,Success,20 July 2020,21:30
90,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",0,Success,7 August 2020,05:12
91,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",0,Success,18 August 2020,14:31
92,KSC,Starlink,"15,600 kg",LEO,USSF,"Success
",0,Success,30 August 2020,23:18
93,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",0,Success,3 September 2020,12:46:14
94,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",0,Success,6 October 2020,11:29:34
95,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",0,Success,18 October 2020,12:25:57
96,CCAFS,GPS III,"4,311 kg",MEO,NASA,"Success
",0,Success,24 October 2020,15:31:34
97,KSC,Crew-1,"~12,500 kg",LEO,Sirius XM,"Success
",0,Success,5 November 2020,23:24:23
98,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NRO,"Success
",0,Success,16 November 2020,00:27
99,CCAFS,Starlink,"15,600 kg",LEO,Türksat,"Success
",0,Success,21 November 2020,17:17:08
100,KSC,SpaceX CRS-21,"2,972 kg",LEO,SpaceX,"Success
",0,Success,25 November 2020,02:13
101,CCSFS,SXM-7,"7,000 kg",GTO,0,0,0,0,6 December 2020,16:17:08
102,KSC,NROL-108,C,LEO,0,0,0,0,13 December 2020,17:30:00
103,CCSFS,Türksat 5A,"3,500 kg",GTO,0,0,0,0,19 December 2020,14:00:00
104,KSC,Starlink,"15,600 kg",LEO,0,0,0,0,8 January 2021,02:15
105,CCSFS,Transporter-1,"~5,000 kg",SSO,0,0,0,0,20 January 2021,13:02
106,0,0,0,0,0,0,0,0,24 January 2021,15:00
1,0,0,0,0,0,0,0,0,4 June 2010,18:45
2,0,0,0,0,0,0,0,0,8 December 2010,15:43
3,0,0,0,0,0,0,0,0,22 May 2012,07:44
4,0,0,0,0,0,0,0,0,8 October 2012,00:35
5,0,0,0,0,0,0,0,0,1 March 2013,15:10
6,0,0,0,0,0,0,0,0,29 September 2013,16:00
7,0,0,0,0,0,0,0,0,3 December 2013,22:41
8,0,0,0,0,0,0,0,0,6 January 2014,22:06
9,0,0,0,0,0,0,0,0,18 April 2014,19:25
10,0,0,0,0,0,0,0,0,14 July 2014,15:15
11,0,0,0,0,0,0,0,0,5 August 2014,08:00
12,0,0,0,0,0,0,0,0,7 September 2014,05:00
13,0,0,0,0,0,0,0,0,21 September 2014,05:52
14,0,0,0,0,0,0,0,0,10 January 2015,09:47
15,0,0,0,0,0,0,0,0,11 February 2015,23:03
16,0,0,0,0,0,0,0,0,2 March 2015,03:50
17,0,0,0,0,0,0,0,0,14 April 2015,20:10
18,0,0,0,0,0,0,0,0,27 April 2015,23:03
19,0,0,0,0,0,0,0,0,28 June 2015,14:21
20,0,0,0,0,0,0,0,0,22 December 2015,01:29
21,0,0,0,0,0,0,0,0,17 January 2016,18:42
22,0,0,0,0,0,0,0,0,4 March 2016,23:35
23,0,0,0,0,0,0,0,0,8 April 2016,20:43
24,0,0,0,0,0,0,0,0,6 May 2016,05:21
25,0,0,0,0,0,0,0,0,27 May 2016,21:39
26,0,0,0,0,0,0,0,0,15 June 2016,14:29
27,0,0,0,0,0,0,0,0,18 July 2016,04:45
28,0,0,0,0,0,0,0,0,14 August 2016,05:26
29,0,0,0,0,0,0,0,0,14 January 2017,17:54
30,0,0,0,0,0,0,0,0,19 February 2017,14:39
31,0,0,0,0,0,0,0,0,16 March 2017,06:00
32,0,0,0,0,0,0,0,0,30 March 2017,22:27
33,0,0,0,0,0,0,0,0,1 May 2017,11:15
34,0,0,0,0,0,0,0,0,15 May 2017,23:21
35,0,0,0,0,0,0,0,0,3 June 2017,21:07
36,0,0,0,0,0,0,0,0,23 June 2017,19:10
37,0,0,0,0,0,0,0,0,25 June 2017,20:25
38,0,0,0,0,0,0,0,0,5 July 2017,23:38
39,0,0,0,0,0,0,0,0,14 August 2017,16:31
40,0,0,0,0,0,0,0,0,24 August 2017,18:51
41,0,0,0,0,0,0,0,0,7 September 2017,14:00
42,0,0,0,0,0,0,0,0,9 October 2017,12:37
43,0,0,0,0,0,0,0,0,11 October 2017,22:53:00
44,0,0,0,0,0,0,0,0,30 October 2017,19:34
45,0,0,0,0,0,0,0,0,15 December 2017,15:36
46,0,0,0,0,0,0,0,0,23 December 2017,01:27
47,0,0,0,0,0,0,0,0,8 January 2018,01:00
48,0,0,0,0,0,0,0,0,31 January 2018,21:25
49,0,0,0,0,0,0,0,0,22 February 2018,14:17
50,0,0,0,0,0,0,0,0,6 March 2018,05:33
51,0,0,0,0,0,0,0,0,30 March 2018,14:14
52,0,0,0,0,0,0,0,0,2 April 2018,20:30
53,0,0,0,0,0,0,0,0,18 April 2018,22:51
54,0,0,0,0,0,0,0,0,11 May 2018,20:14
55,0,0,0,0,0,0,0,0,22 May 2018,19:47
56,0,0,0,0,0,0,0,0,4 June 2018,04:45
57,0,0,0,0,0,0,0,0,29 June 2018,09:42
58,0,0,0,0,0,0,0,0,22 July 2018,05:50
59,0,0,0,0,0,0,0,0,25 July 2018,11:39
60,0,0,0,0,0,0,0,0,7 August 2018,05:18
61,0,0,0,0,0,0,0,0,10 September 2018,04:45
62,0,0,0,0,0,0,0,0,8 October 2018,02:22
63,0,0,0,0,0,0,0,0,15 November 2018,20:46
64,0,0,0,0,0,0,0,0,3 December 2018,18:34:05
65,0,0,0,0,0,0,0,0,5 December 2018,18:16
66,0,0,0,0,0,0,0,0,23 December 2018,13:51
67,0,0,0,0,0,0,0,0,11 January 2019,15:31
68,0,0,0,0,0,0,0,0,22 February 2019,01:45
69,0,0,0,0,0,0,0,0,2 March 2019,07:49
70,0,0,0,0,0,0,0,0,4 May 2019,06:48
71,0,0,0,0,0,0,0,0,24 May 2019,02:30
72,0,0,0,0,0,0,0,0,12 June 2019,14:17
73,0,0,0,0,0,0,0,0,25 July 2019,22:01
74,0,0,0,0,0,0,0,0,6 August 2019,23:23
75,0,0,0,0,0,0,0,0,11 November 2019,14:56
76,0,0,0,0,0,0,0,0,5 December 2019,17:29
77,0,0,0,0,0,0,0,0,17 December 2019,00:10
78,0,0,0,0,0,0,0,0,7 January 2020,02:19:21
79,0,0,0,0,0,0,0,0,19 January 2020,15:30
80,0,0,0,0,0,0,0,0,29 January 2020,14:07
81,0,0,0,0,0,0,0,0,17 February 2020,15:05
82,0,0,0,0,0,0,0,0,7 March 2020,04:50
83,0,0,0,0,0,0,0,0,18 March 2020,12:16
84,0,0,0,0,0,0,0,0,22 April 2020,19:30
85,0,0,0,0,0,0,0,0,30 May 2020,19:22
86,0,0,0,0,0,0,0,0,4 June 2020,01:25
87,0,0,0,0,0,0,0,0,13 June 2020,09:21
88,0,0,0,0,0,0,0,0,30 June 2020,20:10:46
89,0,0,0,0,0,0,0,0,20 July 2020,21:30
90,0,0,0,0,0,0,0,0,7 August 2020,05:12
91,0,0,0,0,0,0,0,0,18 August 2020,14:31
92,0,0,0,0,0,0,0,0,30 August 2020,23:18
93,0,0,0,0,0,0,0,0,3 September 2020,12:46:14
94,0,0,0,0,0,0,0,0,6 October 2020,11:29:34
95,0,0,0,0,0,0,0,0,18 October 2020,12:25:57
96,0,0,0,0,0,0,0,0,24 October 2020,15:31:34
97,0,0,0,0,0,0,0,0,5 November 2020,23:24:23
98,0,0,0,0,0,0,0,0,16 November 2020,00:27
99,0,0,0,0,0,0,0,0,21 November 2020,17:17:08
100,0,0,0,0,0,0,0,0,25 November 2020,02:13
101,0,0,0,0,0,0,0,0,6 December 2020,16:17:08
102,0,0,0,0,0,0,0,0,13 December 2020,17:30:00
103,0,0,0,0,0,0,0,0,19 December 2020,14:00:00
104,0,0,0,0,0,0,0,0,8 January 2021,02:15
105,0,0,0,0,0,0,0,0,20 January 2021,13:02
106,0,0,0,0,0,0,0,0,24 January 2021,15:00
0,0,0,0,0,0,0,0,0,0,18:45
0,0,0,0,0,0,0,0,0,0,15:43
0,0,0,0,0,0,0,0,0,0,07:44
0,0,0,0,0,0,0,0,0,0,00:35
0,0,0,0,0,0,0,0,0,0,15:10
0,0,0,0,0,0,0,0,0,0,16:00
0,0,0,0,0,0,0,0,0,0,22:41
0,0,0,0,0,0,0,0,0,0,22:06
0,0,0,0,0,0,0,0,0,0,19:25
0,0,0,0,0,0,0,0,0,0,15:15
0,0,0,0,0,0,0,0,0,0,08:00
0,0,0,0,0,0,0,0,0,0,05:00
0,0,0,0,0,0,0,0,0,0,05:52
0,0,0,0,0,0,0,0,0,0,09:47
0,0,0,0,0,0,0,0,0,0,23:03
0,0,0,0,0,0,0,0,0,0,03:50
0,0,0,0,0,0,0,0,0,0,20:10
0,0,0,0,0,0,0,0,0,0,23:03
0,0,0,0,0,0,0,0,0,0,14:21
0,0,0,0,0,0,0,0,0,0,01:29
0,0,0,0,0,0,0,0,0,0,18:42
0,0,0,0,0,0,0,0,0,0,23:35
0,0,0,0,0,0,0,0,0,0,20:43
0,0,0,0,0,0,0,0,0,0,05:21
0,0,0,0,0,0,0,0,0,0,21:39
0,0,0,0,0,0,0,0,0,0,14:29
0,0,0,0,0,0,0,0,0,0,04:45
0,0,0,0,0,0,0,0,0,0,05:26
0,0,0,0,0,0,0,0,0,0,17:54
0,0,0,0,0,0,0,0,0,0,14:39
0,0,0,0,0,0,0,0,0,0,06:00
0,0,0,0,0,0,0,0,0,0,22:27
0,0,0,0,0,0,0,0,0,0,11:15
0,0,0,0,0,0,0,0,0,0,23:21
0,0,0,0,0,0,0,0,0,0,21:07
0,0,0,0,0,0,0,0,0,0,19:10
0,0,0,0,0,0,0,0,0,0,20:25
0,0,0,0,0,0,0,0,0,0,23:38
0,0,0,0,0,0,0,0,0,0,16:31
0,0,0,0,0,0,0,0,0,0,18:51
0,0,0,0,0,0,0,0,0,0,14:00
0,0,0,0,0,0,0,0,0,0,12:37
0,0,0,0,0,0,0,0,0,0,22:53:00
0,0,0,0,0,0,0,0,0,0,19:34
0,0,0,0,0,0,0,0,0,0,15:36
0,0,0,0,0,0,0,0,0,0,01:27
0,0,0,0,0,0,0,0,0,0,01:00
0,0,0,0,0,0,0,0,0,0,21:25
0,0,0,0,0,0,0,0,0,0,14:17
0,0,0,0,0,0,0,0,0,0,05:33
0,0,0,0,0,0,0,0,0,0,14:14
0,0,0,0,0,0,0,0,0,0,20:30
0,0,0,0,0,0,0,0,0,0,22:51
0,0,0,0,0,0,0,0,0,0,20:14
0,0,0,0,0,0,0,0,0,0,19:47
0,0,0,0,0,0,0,0,0,0,04:45
0,0,0,0,0,0,0,0,0,0,09:42
0,0,0,0,0,0,0,0,0,0,05:50
0,0,0,0,0,0,0,0,0,0,11:39
0,0,0,0,0,0,0,0,0,0,05:18
0,0,0,0,0,0,0,0,0,0,04:45
0,0,0,0,0,0,0,0,0,0,02:22
0,0,0,0,0,0,0,0,0,0,20:46
0,0,0,0,0,0,0,0,0,0,18:34:05
0,0,0,0,0,0,0,0,0,0,18:16
0,0,0,0,0,0,0,0,0,0,13:51
0,0,0,0,0,0,0,0,0,0,15:31
0,0,0,0,0,0,0,0,0,0,01:45
0,0,0,0,0,0,0,0,0,0,07:49
0,0,0,0,0,0,0,0,0,0,06:48
0,0,0,0,0,0,0,0,0,0,02:30
0,0,0,0,0,0,0,0,0,0,14:17
0,0,0,0,0,0,0,0,0,0,22:01
0,0,0,0,0,0,0,0,0,0,23:23
0,0,0,0,0,0,0,0,0,0,14:56
0,0,0,0,0,0,0,0,0,0,17:29
0,0,0,0,0,0,0,0,0,0,00:10
0,0,0,0,0,0,0,0,0,0,02:19:21
0,0,0,0,0,0,0,0,0,0,15:30
0,0,0,0,0,0,0,0,0,0,14:07
0,0,0,0,0,0,0,0,0,0,15:05
0,0,0,0,0,0,0,0,0,0,04:50
0,0,0,0,0,0,0,0,0,0,12:16
0,0,0,0,0,0,0,0,0,0,19:30
0,0,0,0,0,0,0,0,0,0,19:22
0,0,0,0,0,0,0,0,0,0,01:25
0,0,0,0,0,0,0,0,0,0,09:21
0,0,0,0,0,0,0,0,0,0,20:10:46
0,0,0,0,0,0,0,0,0,0,21:30
0,0,0,0,0,0,0,0,0,0,05:12
0,0,0,0,0,0,0,0,0,0,14:31
0,0,0,0,0,0,0,0,0,0,23:18
0,0,0,0,0,0,0,0,0,0,12:46:14
0,0,0,0,0,0,0,0,0,0,11:29:34
0,0,0,0,0,0,0,0,0,0,12:25:57
0,0,0,0,0,0,0,0,0,0,15:31:34
0,0,0,0,0,0,0,0,0,0,23:24:23
0,0,0,0,0,0,0,0,0,0,00:27
0,0,0,0,0,0,0,0,0,0,17:17:08
0,0,0,0,0,0,0,0,0,0,02:13
0,0,0,0,0,0,0,0,0,0,16:17:08
0,0,0,0,0,0,0,0,0,0,17:30:00
0,0,0,0,0,0,0,0,0,0,14:00:00
0,0,0,0,0,0,0,0,0,0,02:15
0,0,0,0,0,0,0,0,0,0,13:02
0,0,0,0,0,0,0,0,0,0,15:00
